FEN,Movimientos
5rk1/pp3ppp/2r5/2P1p3/1P1q4/1Q6/P4RPP/3R2K1 b - - 3 23,d4g4 b3f7 f8f7 d1d8 f7f8 f2f8
r1b3k1/p5pp/4p1r1/1ppqP3/3p4/3P4/PPP2QPP/R1B2RK1 b - - 2 17,c8b7 f2f7 g8h8 f7f8 a8f8 f1f8
8/5pR1/p4pk1/P3pN2/2r1P3/1r3PK1/7P/8 b - - 2 44,g6h5 g7h7 h5g6 h7h6 g6g5 h2h4
6k1/pb3ppp/1p2p3/2p1Q3/8/2P2P1P/qP4P1/3N2K1 b - - 1 32,a2d5 e5b8 b7c8 b8c8 d5d8 c8d8
r1bq1rk1/pp2np1p/2n2Q2/6N1/2B5/8/PP3PPP/R3K2R b KQ - 2 15,e7g6 c4f7 f8f7 f6f7 g8h8 f7h7
1b1r2k1/pQ3p2/Pp2p1p1/2P3p1/1P3nP1/5K2/3p1P2/3R4 w - - 0 36,c5b6 d8d3 f3e4 f7f5 g4f5 g6f5
5r1k/pp1bq2N/8/3ppr2/4pPRQ/2P5/P1P2P1P/6RK b - - 0 22,e7h7 h4h7 h8h7 g4h4 f5h5 h4h5
2kr4/pppb1p1p/1q4p1/3NP3/6Q1/P3P3/1PP4P/2KR4 b - - 4 21,d7g4 d5e7 c8b8 d1d8 g4c8 d8c8
8/R4pp1/5k2/5P1K/2N1r3/8/8/8 w - - 2 54,c4d6 g7g6 f5g6 f7g6 h5h6 e4h4
1r4k1/p3p2R/q2p2p1/2pP4/1rn3P1/1BQ2P2/PP6/2KR4 b - - 0 26,g8h7 d1h1 h7g8 c3h8 g8f7 h1h7
4r1k1/pp1b1pp1/2p4p/3pr1q1/1P6/P1PB1Q1P/4R1P1/5RK1 b - - 0 24,e5e2 f3f7 g8h8 f7f8 e8f8 f1f8
r4rk1/pp3qpp/1b6/1P1N2n1/3nQ3/P2R1N2/5PPP/2R3K1 w - - 1 23,f3g5 f7f2 g1h1 f2f1 c1f1 f8f1
2rqr3/5ppk/p4n1p/5N2/2ppP2P/P4P2/2PQ1P2/R4KR1 b - - 3 22,f6h5 g1g7 h5g7 d2h6 h7g8 h6g7
1r1r1k2/pbQ1bPp1/8/8/2B5/2B1qPPp/PP5P/R4R1K w - - 1 30,a1e1 b7f3 f1f3 e3f3 h1g1 f3g2
3k4/1ppr2pp/p6n/3p2Q1/3P4/1P3R2/P2N1PPK/3qr3 b - - 0 30,d8c8 f3f8 e1e8 f8e8 d7d8 g5d8
5r2/1p1r1pk1/p1pp2R1/4p1Qp/4P2P/1P1P2R1/2P3PK/3q4 b - - 0 32,f7g6 g5g6 g7h8 g6h6 d7h7 h6f8
r4r2/pb1nk1bQ/1pp2qpB/3np1N1/6B1/2NP4/PPP2PP1/R3K2R w KQ - 7 19,h6g7 f6f2 e1d1 d5e3 d1c1 f2c2
3r2r1/p4ppk/2np3p/1pp1pP2/4P1R1/2PP1B1q/PP1Q1P2/2K4R b - - 1 23,h3f3 g4g7 g8g7 d2h6 h7g8 h6h8
r2q1rk1/1p3p2/p1p3pp/3pP1b1/6RP/2NQ4/PPP5/1K4R1 b - - 1 24,g5h4 g4g6 f7g6 d3g6 g8h8 g6h6
2r3k1/3b2pp/p3p3/3pP3/3P4/P1r5/2B2QPP/2q1NRK1 b - - 1 30,d7b5 f2f7 g8h8 f7f8 c8f8 f1f8
2r5/8/p3p1p1/3pPk1p/2p2P1P/5KP1/P5R1/8 b - - 1 37,c4c3 g3g4 h5g4 g2g4 c3c2 g4g5
k3r3/pR4R1/Q1n5/8/3pn3/BP2p3/P1P5/1K2q3 w - - 3 36,b1b2 e1c3 b2b1 e4d2 b1c1 c3a1
5r2/pp6/2p3k1/2R1p2n/8/1BP5/Pr4PP/5R1K w - - 0 27,f1f8 b2b1 b3d1 b1d1 f8f1 d1f1
5rk1/5p1p/5QP1/8/2B5/2q4P/P5RK/8 b - - 0 32,c3f6 g6f7 g8h8 g2g8 f8g8 f7g8q
q4r2/3k1p1p/pR2b3/2Q5/2P5/5PP1/PP5P/6K1 b - - 0 32,a8f3 c5d6 d7e8 b6b8 e6c8 b8c8
6k1/5ppp/8/pq6/2R1P3/2K2P2/1PPr4/3B4 b - - 4 32,d2d1 c4c8 d1d8 c8d8 b5e8 d8e8
r3r1k1/ppp2ppp/8/3Q4/8/5N2/P1q2PPP/3R1K1R w - - 0 16,f3g5 c2e2 f1g1 e2e1 d1e1 e8e1
3r3k/5ppp/8/1Q1N2b1/4q3/1P6/6PP/3R3K w - - 0 39,d5c3 d8d1 c3d1 e4e1 b5f1 e1f1
4k1r1/2pq1p1p/P2p1p2/4p3/1P2Pn2/3P1N2/1P3PPK/3Q1R2 w - - 1 21,f1g1 g8g2 g1g2 d7h3 h2g1 h3g2
8/8/5p1P/PRR1p3/8/6k1/r7/6K1 w - - 0 48,b5b4 a2a1 b4b1 a1b1 c5c1 b1c1
1Q6/6pk/5p1p/3q4/P1bP4/5P2/6PP/R5K1 w - - 1 38,a4a5 d5d4 g1h1 d4a1 b8b1 a1b1
5rk1/2p2ppp/p2p2q1/4n1R1/2BpP3/6Q1/Pr5P/6RK b - - 6 29,g6f6 g5g7 g8h8 g7g8 f8g8 g3g8
r1b1r1k1/pp3ppp/2n5/3pN2Q/5P2/3BB3/P1P2KPP/q7 b - - 3 17,c6e5 h5h7 g8f8 e3c5 e8e7 h7h8
5rk1/1p3ppp/p7/3QP3/2r5/2P5/Pq4PP/3R1R1K b - - 0 23,b2c3 d5f7 f8f7 d1d8 f7f8 f1f8
5rk1/p6p/Q2Rpqp1/2p5/4r3/1P6/P4PPP/5RK1 w - - 1 23,a6a7 f6f2 f1f2 e4e1 f2f1 e1f1
4rrk1/1Q5R/2p2q2/8/8/8/PP3PPP/5RK1 w - - 3 30,h7h3 f6f2 f1f2 e8e1 f2f1 e1f1
2r5/p2n2Q1/1k3P2/bp1p4/B2p4/5N2/Pr3PPP/5K2 w - - 0 29,g7d7 c8c1 a4d1 c1d1 f3e1 d1e1
8/pR6/3p2p1/4p3/1P2P3/3Pr1P1/P1P2k1P/7K w - - 1 36,h2h4 f2g3 b7f7 e3e1 f7f1 e1f1
5r2/R4pkp/6p1/8/8/P3PQ2/2rq1PPP/R5K1 w - - 1 26,a7a6 c2c1 a1c1 d2c1 f3d1 c1d1
